[Sat Feb  4 00:00:36 2017] Report del giorno Saturday February 04 2017 -- INVIATO a centraline@googlegroups.com
00:00-Sat-Feb-04-2017 PM2.5 |   5.12 |   4.59 |   5.20 |   4.17 |   0.00 |   0.00 |
00:05-Sat-Feb-04-2017 PM10  |  11.49 |  11.49 |  11.49 |  11.49 |   0.00 |   0.00 |
00:05-Sat-Feb-04-2017 PM2.5 |   4.57 |   4.57 |   4.57 |   4.57 |   0.00 |   0.00 |
00:06-Sat-Feb-04-2017 PM10  |  11.99 |  11.74 |  11.99 |  11.49 |   0.00 |   0.00 |
00:06-Sat-Feb-04-2017 PM2.5 |   4.53 |   4.55 |   4.57 |   4.53 |   0.00 |   0.00 |
00:07-Sat-Feb-04-2017 PM10  |  11.99 |  11.82 |  11.99 |  11.49 |   0.00 |   0.00 |
00:07-Sat-Feb-04-2017 PM2.5 |   4.53 |   4.55 |   4.57 |   4.53 |   0.00 |   0.00 |
00:12-Sat-Feb-04-2017 PM10  |   9.73 |  11.30 |  11.99 |   9.73 |   0.00 |   0.00 |
00:12-Sat-Feb-04-2017 PM2.5 |   4.30 |   4.49 |   4.57 |   4.30 |   0.00 |   0.00 |
00:13-Sat-Feb-04-2017 PM10  |  12.22 |  11.48 |  12.22 |   9.73 |   0.00 |   0.00 |
00:13-Sat-Feb-04-2017 PM2.5 |   4.98 |   4.58 |   4.98 |   4.30 |   0.00 |   0.00 |
00:18-Sat-Feb-04-2017 PM10  |  10.25 |  11.28 |  12.22 |   9.73 |   0.00 |   0.00 |
00:18-Sat-Feb-04-2017 PM2.5 |   4.68 |   4.60 |   4.98 |   4.30 |   0.00 |   0.00 |
00:19-Sat-Feb-04-2017 PM10  |   9.51 |  11.03 |  12.22 |   9.51 |   0.00 |   0.00 |
00:19-Sat-Feb-04-2017 PM2.5 |   4.52 |   4.59 |   4.98 |   4.30 |   0.00 |   0.00 |
00:24-Sat-Feb-04-2017 PM10  |  12.14 |  11.17 |  12.22 |   9.51 |   0.00 |   0.00 |
00:24-Sat-Feb-04-2017 PM2.5 |   4.49 |   4.58 |   4.98 |   4.30 |   0.00 |   0.00 |
00:25-Sat-Feb-04-2017 PM10  |  10.40 |  11.08 |  12.22 |   9.51 |   0.00 |   0.00 |
00:25-Sat-Feb-04-2017 PM2.5 |   4.37 |   4.55 |   4.98 |   4.30 |   0.00 |   0.00 |
00:30-Sat-Feb-04-2017 PM10  |  11.50 |  11.12 |  12.22 |   9.51 |   0.00 |   0.00 |
00:30-Sat-Feb-04-2017 PM2.5 |   4.44 |   4.54 |   4.98 |   4.30 |   0.00 |   0.00 |
00:31-Sat-Feb-04-2017 PM10  |  11.66 |  11.17 |  12.22 |   9.51 |   0.00 |   0.00 |
00:31-Sat-Feb-04-2017 PM2.5 |   4.08 |   4.50 |   4.98 |   4.08 |   0.00 |   0.00 |
00:36-Sat-Feb-04-2017 PM10  |   9.93 |  11.07 |  12.22 |   9.51 |   0.00 |   0.00 |
00:36-Sat-Feb-04-2017 PM2.5 |   4.22 |   4.48 |   4.98 |   4.08 |   0.00 |   0.00 |
00:37-Sat-Feb-04-2017 PM10  |   9.93 |  10.98 |  12.22 |   9.51 |   0.00 |   0.00 |
00:37-Sat-Feb-04-2017 PM2.5 |   4.22 |   4.46 |   4.98 |   4.08 |   0.00 |   0.00 |
00:38-Sat-Feb-04-2017 PM10  |   9.44 |  10.87 |  12.22 |   9.44 |   0.00 |   0.00 |
00:38-Sat-Feb-04-2017 PM2.5 |   4.18 |   4.44 |   4.98 |   4.08 |   0.00 |   0.00 |
00:43-Sat-Feb-04-2017 PM10  |  10.37 |  10.84 |  12.22 |   9.44 |   0.00 |   0.00 |
00:43-Sat-Feb-04-2017 PM2.5 |   4.35 |   4.43 |   4.98 |   4.08 |   0.00 |   0.00 |
00:44-Sat-Feb-04-2017 PM10  |  11.22 |  10.86 |  12.22 |   9.44 |   0.00 |   0.00 |
00:44-Sat-Feb-04-2017 PM2.5 |   4.54 |   4.44 |   4.98 |   4.08 |   0.00 |   0.00 |
00:49-Sat-Feb-04-2017 PM10  |  10.05 |  10.81 |  12.22 |   9.44 |   0.00 |   0.00 |
00:49-Sat-Feb-04-2017 PM2.5 |   4.61 |   4.45 |   4.98 |   4.08 |   0.00 |   0.00 |
00:50-Sat-Feb-04-2017 PM10  |  13.63 |  10.97 |  13.63 |   9.44 |   0.00 |   0.00 |
00:50-Sat-Feb-04-2017 PM2.5 |   5.08 |   4.48 |   5.08 |   4.08 |   0.00 |   0.00 |
00:55-Sat-Feb-04-2017 PM10  |  11.99 |  11.02 |  13.63 |   9.44 |   0.00 |   0.00 |
00:55-Sat-Feb-04-2017 PM2.5 |   4.60 |   4.49 |   5.08 |   4.08 |   0.00 |   0.00 |
00:56-Sat-Feb-04-2017 PM10  |  14.55 |  11.20 |  14.55 |   9.44 |   0.00 |   0.00 |
00:56-Sat-Feb-04-2017 PM2.5 |   4.44 |   4.49 |   5.08 |   4.08 |   0.00 |   0.00 |
01:01-Sat-Feb-04-2017 PM10  |   9.88 |  11.14 |  14.55 |   9.44 |   0.00 |   0.00 |
01:01-Sat-Feb-04-2017 PM2.5 |   4.44 |   4.48 |   5.08 |   4.08 |   0.00 |   0.00 |
01:02-Sat-Feb-04-2017 PM10  |   8.20 |  11.00 |  14.55 |   8.20 |   0.00 |   0.00 |
01:02-Sat-Feb-04-2017 PM2.5 |   4.25 |   4.47 |   5.08 |   4.08 |   0.00 |   0.00 |
01:07-Sat-Feb-04-2017 PM10  |   8.39 |  10.89 |  14.55 |   8.20 |   0.00 |   0.00 |
01:07-Sat-Feb-04-2017 PM2.5 |   4.21 |   4.46 |   5.08 |   4.08 |   0.00 |   0.00 |
01:08-Sat-Feb-04-2017 PM10  |   8.39 |  10.79 |  14.55 |   8.20 |   0.00 |   0.00 |
01:08-Sat-Feb-04-2017 PM2.5 |   4.21 |   4.45 |   5.08 |   4.08 |   0.00 |   0.00 |
01:09-Sat-Feb-04-2017 PM10  |  11.12 |  10.80 |  14.55 |   8.20 |   0.00 |   0.00 |
01:09-Sat-Feb-04-2017 PM2.5 |   4.52 |   4.46 |   5.08 |   4.08 |   0.00 |   0.00 |
01:14-Sat-Feb-04-2017 PM10  |   8.62 |  10.71 |  14.55 |   8.20 |   0.00 |   0.00 |
01:14-Sat-Feb-04-2017 PM2.5 |   4.01 |   4.44 |   5.08 |   4.01 |   0.00 |   0.00 |
01:15-Sat-Feb-04-2017 PM10  |   8.34 |  10.63 |  14.55 |   8.20 |   0.00 |   0.00 |
01:15-Sat-Feb-04-2017 PM2.5 |   3.92 |   4.42 |   5.08 |   3.92 |   0.00 |   0.00 |
01:20-Sat-Feb-04-2017 PM10  |   9.14 |  10.57 |  14.55 |   8.20 |   0.00 |   0.00 |
01:20-Sat-Feb-04-2017 PM2.5 |   4.23 |   4.41 |   5.08 |   3.92 |   0.00 |   0.00 |
01:21-Sat-Feb-04-2017 PM10  |   7.60 |  10.47 |  14.55 |   7.60 |   0.00 |   0.00 |
01:21-Sat-Feb-04-2017 PM2.5 |   4.11 |   4.40 |   5.08 |   3.92 |   0.00 |   0.00 |
01:26-Sat-Feb-04-2017 PM10  |   8.85 |  10.42 |  14.55 |   7.60 |   0.00 |   0.00 |
01:26-Sat-Feb-04-2017 PM2.5 |   4.25 |   4.40 |   5.08 |   3.92 |   0.00 |   0.00 |
